08:58, WALKING, 経路検索
01:22, WALKING, 会議情報
16:50, WALKING, レストラン検索
07:46, STABLE, 動画視聴
23:36, RUNNING, 動画視聴
12:45, STABLE, 経路検索
13:53, WALKING, 動画視聴
08:00, RUNNING, 動画視聴
14:43, WALKING, 楽曲再生
01:33, RUNNING, 天気情報
08:15, STABLE, 経路検索
07:13, WALKING, 天気情報
15:10, RUNNING, レストラン検索
07:26, RUNNING, 動画視聴
19:32, STABLE, 経路検索
11:02, WALKING, 楽曲再生
13:36, RUNNING, 天気情報
19:20, WALKING, 経路検索
20:21, WALKING, 動画視聴
05:59, STABLE, 会議情報
11:16, RUNNING, ニュース閲覧
11:40, RUNNING, ニュース閲覧
18:46, RUNNING, 天気情報
07:49, WALKING, 楽曲再生
12:35, STABLE, 楽曲再生
00:54, STABLE, 動画視聴
03:05, WALKING, 楽曲再生
05:37, WALKING, 天気情報
05:15, STABLE, 天気情報
01:40, WALKING, 会議情報
10:11, RUNNING, レストラン検索
06:54, RUNNING, 会議情報
10:33, RUNNING, 楽曲再生
09:55, STABLE, 動画視聴
17:51, WALKING, 動画視聴
06:15, RUNNING, 動画視聴
03:42, WALKING, レストラン検索
11:44, STABLE, 天気情報
10:21, RUNNING, 会議情報
03:57, STABLE, 会議情報
00:30, WALKING, 天気情報
10:28, RUNNING, 動画視聴
05:21, RUNNING, ニュース閲覧
05:41, RUNNING, 会議情報
01:52, RUNNING, ニュース閲覧
14:52, STABLE, ニュース閲覧
08:21, RUNNING, 動画視聴
02:52, STABLE, レストラン検索
07:19, STABLE, 経路検索
17:47, RUNNING, レストラン検索
09:44, RUNNING, 経路検索
07:39, WALKING, レストラン検索
10:28, WALKING, 会議情報
12:28, WALKING, 動画視聴
05:04, STABLE, 経路検索
01:48, STABLE, 楽曲再生
00:36, WALKING, ニュース閲覧
06:59, STABLE, ニュース閲覧
20:51, WALKING, ニュース閲覧
04:12, RUNNING, 楽曲再生
07:50, WALKING, ニュース閲覧
19:15, STABLE, レストラン検索
14:40, RUNNING, 経路検索
16:23, STABLE, ニュース閲覧
15:42, RUNNING, 経路検索
22:38, WALKING, 会議情報
05:05, STABLE, レストラン検索
03:21, WALKING, ニュース閲覧
19:55, STABLE, レストラン検索
18:36, WALKING, 会議情報
22:16, WALKING, 楽曲再生
04:07, RUNNING, レストラン検索
02:53, RUNNING, 会議情報
12:20, WALKING, ニュース閲覧
18:50, WALKING, ニュース閲覧
10:26, WALKING, 動画視聴
03:29, WALKING, 楽曲再生
09:33, STABLE, 楽曲再生
02:10, RUNNING, 経路検索
16:57, STABLE, 楽曲再生
12:33, STABLE, 楽曲再生
19:21, WALKING, ニュース閲覧
11:29, RUNNING, 経路検索
06:41, STABLE, 経路検索
19:28, STABLE, 楽曲再生
15:10, RUNNING, 動画視聴
22:06, RUNNING, 動画視聴
13:08, WALKING, レストラン検索
22:06, WALKING, 会議情報
15:12, RUNNING, ニュース閲覧
21:42, RUNNING, 動画視聴
00:54, RUNNING, ニュース閲覧
05:45, STABLE, 動画視聴
05:49, RUNNING, 天気情報
09:58, STABLE, 動画視聴
00:16, STABLE, レストラン検索
09:32, WALKING, レストラン検索
06:20, STABLE, レストラン検索
09:23, STABLE, 動画視聴
16:30, RUNNING, 天気情報
14:44, WALKING, ニュース閲覧
19:25, STABLE, ニュース閲覧
02:27, STABLE, レストラン検索
03:25, STABLE, ニュース閲覧
15:21, WALKING, ニュース閲覧
05:09, STABLE, 動画視聴
03:19, WALKING, 楽曲再生
11:17, STABLE, 天気情報
03:55, STABLE, 天気情報
04:07, STABLE, 動画視聴
00:42, STABLE, ニュース閲覧
21:22, RUNNING, 経路検索
14:41, STABLE, 動画視聴
00:37, WALKING, 動画視聴
18:38, WALKING, 楽曲再生
06:33, WALKING, 楽曲再生
23:30, STABLE, ニュース閲覧
14:32, WALKING, 会議情報
03:37, STABLE, レストラン検索
23:49, STABLE, 楽曲再生
06:12, STABLE, 会議情報
16:59, WALKING, 会議情報
07:03, RUNNING, 天気情報
18:29, RUNNING, ニュース閲覧
21:49, WALKING, 楽曲再生
13:49, RUNNING, 経路検索
06:26, RUNNING, 楽曲再生
20:55, WALKING, 楽曲再生
13:56, STABLE, 経路検索
00:51, STABLE, 天気情報
04:57, STABLE, レストラン検索
09:55, WALKING, 天気情報
20:00, RUNNING, 天気情報
03:24, WALKING, ニュース閲覧
16:40, STABLE, 会議情報
19:27, WALKING, 天気情報
14:36, RUNNING, レストラン検索
14:08, WALKING, 経路検索
19:56, RUNNING, 楽曲再生
21:52, RUNNING, 動画視聴
14:36, STABLE, 天気情報
16:19, WALKING, 楽曲再生
01:24, STABLE, 楽曲再生
00:35, WALKING, 経路検索
23:57, STABLE, 会議情報
09:06, STABLE, 天気情報
16:52, RUNNING, 楽曲再生
16:37, STABLE, レストラン検索
08:39, RUNNING, 会議情報
01:53, RUNNING, 経路検索
06:20, WALKING, 楽曲再生
22:00, RUNNING, 経路検索
14:28, RUNNING, 会議情報
21:14, STABLE, 会議情報
19:30, STABLE, 動画視聴
00:54, WALKING, レストラン検索
16:35, STABLE, 経路検索
21:05, WALKING, 動画視聴
13:08, STABLE, ニュース閲覧
20:10, RUNNING, 天気情報
22:36, STABLE, 動画視聴
18:19, STABLE, 天気情報
06:39, RUNNING, レストラン検索
23:32, WALKING, 経路検索
10:21, WALKING, 楽曲再生
10:36, RUNNING, 動画視聴
08:04, RUNNING, レストラン検索
20:17, RUNNING, 会議情報
21:13, RUNNING, 楽曲再生
15:12, STABLE, 経路検索
16:51, WALKING, 天気情報
17:42, RUNNING, 楽曲再生
02:07, RUNNING, 天気情報
22:38, STABLE, レストラン検索
05:39, STABLE, 天気情報
08:20, STABLE, レストラン検索
02:04, RUNNING, 経路検索
09:38, RUNNING, 経路検索
16:33, STABLE, 経路検索
08:34, RUNNING, 会議情報
06:27, STABLE, 天気情報
03:50, WALKING, ニュース閲覧
17:52, RUNNING, 会議情報
06:36, STABLE, 楽曲再生
22:18, RUNNING, レストラン検索
20:10, RUNNING, 動画視聴
07:33, WALKING, 天気情報
21:24, WALKING, レストラン検索
02:59, STABLE, 動画視聴
09:39, WALKING, 楽曲再生
17:56, RUNNING, ニュース閲覧
16:35, STABLE, レストラン検索
13:55, STABLE, 経路検索
19:07, RUNNING, 天気情報
14:47, RUNNING, 天気情報
01:59, RUNNING, レストラン検索
02:56, STABLE, 天気情報
09:14, STABLE, 楽曲再生
20:55, STABLE, 天気情報
21:28, RUNNING, 天気情報
11:10, STABLE, 会議情報
12:11, RUNNING, 楽曲再生
03:01, STABLE, 会議情報
00:12, STABLE, レストラン検索
21:49, WALKING, 会議情報
22:16, WALKING, レストラン検索
23:53, WALKING, 会議情報
01:16, RUNNING, 動画視聴
11:36, STABLE, 経路検索
04:46, STABLE, ニュース閲覧
16:17, STABLE, レストラン検索
11:52, WALKING, 楽曲再生
16:10, WALKING, 天気情報
16:00, RUNNING, 動画視聴
01:20, STABLE, ニュース閲覧
01:37, RUNNING, 楽曲再生
04:32, RUNNING, 会議情報
18:36, STABLE, レストラン検索
21:41, WALKING, 動画視聴
20:32, STABLE, 経路検索
06:26, STABLE, レストラン検索
19:43, RUNNING, 会議情報
13:45, RUNNING, レストラン検索
13:52, RUNNING, ニュース閲覧
19:27, WALKING, 楽曲再生
05:34, RUNNING, レストラン検索
23:47, WALKING, 天気情報
21:53, WALKING, 経路検索
08:21, RUNNING, 経路検索
13:38, RUNNING, 動画視聴
01:12, WALKING, 動画視聴
10:24, STABLE, レストラン検索
22:52, STABLE, ニュース閲覧
18:17, STABLE, 楽曲再生
20:21, STABLE, 動画視聴
13:39, WALKING, ニュース閲覧
04:40, STABLE, 経路検索
13:50, WALKING, レストラン検索
07:24, RUNNING, 楽曲再生
18:43, RUNNING, ニュース閲覧
13:42, STABLE, 天気情報
09:58, WALKING, 会議情報
11:57, WALKING, 動画視聴
13:12, RUNNING, ニュース閲覧
02:41, RUNNING, 経路検索
20:37, RUNNING, 楽曲再生
05:10, STABLE, 会議情報
15:39, WALKING, ニュース閲覧
21:52, STABLE, 天気情報
06:26, RUNNING, 経路検索
02:52, RUNNING, 天気情報
06:00, RUNNING, レストラン検索
05:33, STABLE, 天気情報
02:24, WALKING, 経路検索
09:08, RUNNING, 動画視聴
04:13, STABLE, 経路検索
16:39, WALKING, 経路検索
10:26, STABLE, 楽曲再生
10:31, WALKING, レストラン検索
05:28, STABLE, 経路検索
12:21, WALKING, 経路検索
23:47, WALKING, 天気情報
09:42, RUNNING, 会議情報
03:49, WALKING, レストラン検索
15:40, STABLE, 経路検索
09:32, RUNNING, 楽曲再生
16:54, WALKING, 動画視聴
11:11, WALKING, 天気情報
18:33, STABLE, 楽曲再生
03:33, RUNNING, 経路検索
17:40, STABLE, 動画視聴
21:37, WALKING, 会議情報
22:12, RUNNING, 楽曲再生
19:38, RUNNING, 天気情報
10:27, RUNNING, 動画視聴
14:16, WALKING, 天気情報
07:48, WALKING, 動画視聴
13:37, STABLE, ニュース閲覧
00:42, RUNNING, 天気情報
11:44, RUNNING, 動画視聴
03:18, RUNNING, 楽曲再生
00:18, WALKING, ニュース閲覧
17:35, STABLE, 楽曲再生
18:56, STABLE, 動画視聴
09:39, STABLE, レストラン検索
11:50, RUNNING, 動画視聴
11:38, RUNNING, 会議情報
11:46, STABLE, 天気情報
13:45, STABLE, レストラン検索
21:09, RUNNING, 天気情報
05:18, RUNNING, 経路検索
14:58, STABLE, 楽曲再生
18:04, STABLE, 楽曲再生
10:38, STABLE, ニュース閲覧
20:15, STABLE, 会議情報
04:58, RUNNING, 楽曲再生
17:19, RUNNING, 楽曲再生
03:45, STABLE, 経路検索
08:09, WALKING, 会議情報
22:28, RUNNING, 会議情報
23:00, WALKING, 経路検索
01:31, RUNNING, 経路検索
01:36, WALKING, レストラン検索
07:39, RUNNING, 会議情報
01:43, WALKING, 会議情報
18:24, STABLE, 会議情報
06:58, WALKING, 楽曲再生
02:31, RUNNING, レストラン検索
21:58, STABLE, 楽曲再生
10:32, STABLE, レストラン検索
19:16, RUNNING, レストラン検索
09:48, RUNNING, ニュース閲覧
15:29, STABLE, 動画視聴
15:54, STABLE, 動画視聴
13:17, RUNNING, 動画視聴
12:35, STABLE, 経路検索
07:20, STABLE, ニュース閲覧
09:55, WALKING, 楽曲再生
10:26, RUNNING, レストラン検索
12:32, STABLE, 楽曲再生
04:10, WALKING, 動画視聴
07:11, WALKING, ニュース閲覧
08:13, STABLE, 経路検索
21:14, STABLE, ニュース閲覧
16:23, STABLE, レストラン検索
06:49, RUNNING, 経路検索
21:31, STABLE, 会議情報
23:15, RUNNING, ニュース閲覧
13:56, WALKING, 楽曲再生
18:23, WALKING, 天気情報
13:20, WALKING, 経路検索
08:04, STABLE, 天気情報
02:17, STABLE, 楽曲再生
18:28, RUNNING, 動画視聴
17:48, WALKING, レストラン検索
02:10, RUNNING, 会議情報
16:07, STABLE, 会議情報
17:19, RUNNING, 天気情報
17:30, STABLE, 会議情報
18:07, STABLE, ニュース閲覧
22:21, STABLE, 経路検索
04:08, STABLE, レストラン検索
12:29, WALKING, 楽曲再生
18:00, STABLE, 動画視聴
06:45, WALKING, 楽曲再生
06:39, RUNNING, 楽曲再生
05:53, WALKING, 天気情報
19:16, WALKING, ニュース閲覧
17:56, STABLE, 会議情報
15:26, WALKING, 経路検索
18:07, RUNNING, 動画視聴
13:10, STABLE, 経路検索
04:43, WALKING, 天気情報
05:28, STABLE, 動画視聴
14:06, STABLE, 経路検索
10:19, STABLE, 天気情報
23:24, WALKING, 経路検索
00:17, RUNNING, 動画視聴
08:43, STABLE, 会議情報
05:44, WALKING, ニュース閲覧
14:36, RUNNING, ニュース閲覧
21:41, RUNNING, 会議情報
13:26, RUNNING, レストラン検索
02:15, RUNNING, 経路検索
21:58, RUNNING, 天気情報
17:02, RUNNING, 楽曲再生
08:55, STABLE, 動画視聴
11:43, RUNNING, レストラン検索
11:11, RUNNING, 楽曲再生
13:20, WALKING, レストラン検索
05:04, RUNNING, レストラン検索
19:57, WALKING, 会議情報
04:54, RUNNING, 動画視聴
23:49, WALKING, 会議情報
08:22, STABLE, レストラン検索
20:02, RUNNING, 会議情報
14:48, WALKING, 楽曲再生
17:51, RUNNING, レストラン検索
00:34, WALKING, 経路検索
14:52, STABLE, 天気情報
08:15, WALKING, 動画視聴
17:56, WALKING, 楽曲再生
16:23, RUNNING, レストラン検索
06:54, STABLE, 天気情報
06:18, RUNNING, レストラン検索
05:45, RUNNING, 天気情報
07:14, WALKING, 経路検索
20:54, RUNNING, 会議情報
18:36, RUNNING, 会議情報
00:56, STABLE, 動画視聴
05:48, WALKING, 天気情報
17:06, STABLE, レストラン検索
23:59, STABLE, 天気情報
06:46, RUNNING, ニュース閲覧
17:31, RUNNING, 天気情報
22:53, STABLE, 天気情報
16:40, WALKING, 動画視聴
00:04, STABLE, ニュース閲覧
20:26, WALKING, 動画視聴
08:35, WALKING, 動画視聴
17:07, STABLE, 天気情報
13:24, WALKING, 経路検索
02:38, RUNNING, 動画視聴
07:33, WALKING, 天気情報
15:27, WALKING, ニュース閲覧
20:14, WALKING, 経路検索
12:53, STABLE, 楽曲再生
20:19, RUNNING, 天気情報
04:22, RUNNING, 経路検索
22:22, WALKING, 楽曲再生
00:12, STABLE, レストラン検索
00:45, WALKING, ニュース閲覧
20:13, STABLE, 会議情報
16:14, WALKING, 経路検索
12:40, STABLE, 経路検索
22:20, STABLE, 楽曲再生
01:52, WALKING, ニュース閲覧
07:27, WALKING, 楽曲再生
22:02, WALKING, ニュース閲覧
14:59, RUNNING, 楽曲再生
17:09, RUNNING, 楽曲再生
12:13, RUNNING, ニュース閲覧
14:23, RUNNING, 楽曲再生
05:23, STABLE, 動画視聴
03:59, RUNNING, 動画視聴
08:15, RUNNING, レストラン検索
09:46, RUNNING, ニュース閲覧
20:19, STABLE, 動画視聴
20:22, WALKING, 楽曲再生
06:37, RUNNING, レストラン検索
11:28, RUNNING, 会議情報
10:01, STABLE, 楽曲再生
22:35, STABLE, 経路検索
05:22, STABLE, 天気情報
06:16, STABLE, 会議情報
12:40, STABLE, 会議情報
02:06, WALKING, 経路検索
16:06, RUNNING, 楽曲再生
09:22, STABLE, レストラン検索
09:30, STABLE, 経路検索
05:33, STABLE, 会議情報
20:45, RUNNING, 経路検索
14:11, RUNNING, 動画視聴
17:03, STABLE, 天気情報
13:24, STABLE, 会議情報
16:40, STABLE, 天気情報
02:07, WALKING, レストラン検索
22:08, RUNNING, レストラン検索
16:30, STABLE, 経路検索
16:15, STABLE, 会議情報
23:29, STABLE, レストラン検索
22:40, WALKING, 動画視聴
14:32, STABLE, 天気情報
21:16, RUNNING, 天気情報
05:02, STABLE, 会議情報
16:18, WALKING, 天気情報
08:50, STABLE, ニュース閲覧
09:44, WALKING, 動画視聴
09:18, WALKING, 経路検索
02:37, WALKING, ニュース閲覧
12:43, WALKING, 天気情報
02:47, RUNNING, 会議情報
18:19, STABLE, レストラン検索
13:12, WALKING, ニュース閲覧
07:12, RUNNING, 動画視聴
05:43, STABLE, 動画視聴
22:29, WALKING, 楽曲再生
20:43, WALKING, ニュース閲覧
03:32, RUNNING, レストラン検索
02:33, WALKING, 会議情報
14:18, WALKING, 経路検索
09:22, RUNNING, ニュース閲覧
17:46, WALKING, 天気情報
15:03, STABLE, 天気情報
15:53, STABLE, 動画視聴
04:59, WALKING, 動画視聴
15:22, STABLE, ニュース閲覧
11:47, WALKING, 会議情報
15:02, RUNNING, 動画視聴
21:30, WALKING, 経路検索
04:07, STABLE, 経路検索
19:17, RUNNING, ニュース閲覧
02:47, WALKING, 楽曲再生
06:26, STABLE, 楽曲再生
09:42, RUNNING, 動画視聴
03:45, RUNNING, 楽曲再生
02:39, WALKING, 動画視聴
23:22, RUNNING, ニュース閲覧
21:53, RUNNING, レストラン検索
15:40, WALKING, レストラン検索
10:49, RUNNING, 楽曲再生
11:41, STABLE, 会議情報
12:33, RUNNING, 楽曲再生
20:53, RUNNING, 天気情報
00:43, STABLE, 天気情報
01:28, WALKING, 楽曲再生
07:13, STABLE, 天気情報
04:46, STABLE, 天気情報
05:28, STABLE, ニュース閲覧
12:08, WALKING, 会議情報
16:25, STABLE, 経路検索
14:45, RUNNING, 経路検索
19:46, STABLE, ニュース閲覧
17:01, STABLE, 会議情報
21:27, RUNNING, ニュース閲覧
04:29, RUNNING, 天気情報
11:03, RUNNING, 経路検索
19:37, STABLE, 楽曲再生
08:59, RUNNING, 天気情報
06:05, RUNNING, 天気情報
13:04, WALKING, レストラン検索
05:12, STABLE, 会議情報
10:39, WALKING, 経路検索
23:39, WALKING, 楽曲再生
12:06, STABLE, 天気情報
02:43, STABLE, 動画視聴
11:36, WALKING, 経路検索
19:46, RUNNING, 動画視聴
10:32, WALKING, 経路検索
17:17, RUNNING, 会議情報
09:29, STABLE, ニュース閲覧
05:34, RUNNING, 楽曲再生
02:31, RUNNING, 天気情報
00:04, WALKING, 会議情報
16:06, RUNNING, 動画視聴
01:29, STABLE, 動画視聴
17:16, WALKING, 天気情報
19:39, STABLE, 動画視聴
01:45, STABLE, 動画視聴
20:59, RUNNING, 会議情報
03:23, STABLE, レストラン検索
22:42, RUNNING, 楽曲再生
11:13, STABLE, 会議情報
11:37, STABLE, 楽曲再生
07:44, STABLE, 会議情報
03:28, WALKING, レストラン検索
06:59, WALKING, 会議情報
17:40, STABLE, レストラン検索
02:18, WALKING, 楽曲再生
16:57, STABLE, 天気情報
19:21, STABLE, 会議情報
07:35, RUNNING, ニュース閲覧
13:15, RUNNING, 動画視聴
22:37, RUNNING, 天気情報
21:14, STABLE, 天気情報
21:22, RUNNING, ニュース閲覧
06:50, WALKING, レストラン検索
17:08, RUNNING, 楽曲再生
00:47, WALKING, 会議情報
05:48, STABLE, 天気情報
16:32, WALKING, レストラン検索
23:01, STABLE, レストラン検索
03:45, STABLE, 経路検索
20:30, RUNNING, 会議情報
23:09, WALKING, 経路検索
10:20, RUNNING, 天気情報
13:22, STABLE, レストラン検索
22:43, RUNNING, ニュース閲覧
17:53, RUNNING, レストラン検索
19:00, RUNNING, 天気情報
03:41, STABLE, 会議情報
03:40, RUNNING, 動画視聴
22:41, STABLE, 天気情報
16:06, STABLE, 楽曲再生
02:55, RUNNING, 動画視聴
22:20, RUNNING, 経路検索
03:03, STABLE, 楽曲再生
08:21, WALKING, 会議情報
06:03, STABLE, 動画視聴
02:17, RUNNING, 動画視聴
01:24, RUNNING, 経路検索
18:42, STABLE, 動画視聴
11:26, STABLE, 天気情報
02:38, WALKING, 会議情報
17:32, RUNNING, レストラン検索
22:03, WALKING, レストラン検索
15:17, WALKING, 動画視聴
16:04, WALKING, 動画視聴
13:23, RUNNING, 楽曲再生
23:10, STABLE, 天気情報
01:12, STABLE, 天気情報
10:06, WALKING, 経路検索
22:25, STABLE, 天気情報
06:08, RUNNING, 経路検索
01:50, WALKING, 経路検索
06:39, WALKING, ニュース閲覧
16:41, WALKING, 動画視聴
03:29, WALKING, 経路検索
01:53, RUNNING, 楽曲再生
19:40, WALKING, 経路検索
03:26, WALKING, レストラン検索
12:01, RUNNING, 天気情報
16:52, RUNNING, ニュース閲覧
17:34, STABLE, 天気情報
17:20, STABLE, レストラン検索
09:38, WALKING, 天気情報
19:49, WALKING, レストラン検索
10:01, STABLE, レストラン検索
08:23, STABLE, 楽曲再生
12:16, WALKING, 楽曲再生
23:19, RUNNING, 天気情報
05:01, WALKING, 経路検索
08:18, RUNNING, 経路検索
03:26, WALKING, 経路検索
12:15, RUNNING, ニュース閲覧
05:51, RUNNING, レストラン検索
12:45, STABLE, 天気情報
06:45, WALKING, ニュース閲覧
22:01, STABLE, ニュース閲覧
08:09, STABLE, ニュース閲覧
08:24, WALKING, 楽曲再生
22:01, STABLE, 天気情報
16:30, WALKING, 動画視聴
09:52, WALKING, ニュース閲覧
17:03, WALKING, レストラン検索
03:48, STABLE, 動画視聴
05:42, WALKING, 経路検索
13:14, STABLE, 会議情報
10:02, STABLE, 会議情報
